"measurement_id","mean_ts_int_acc","max_ts_int_acc","mean_diff_ts_int_acc","sd_ts_int_acc","obs_int_acc","mean_int_acc","min_int_acc","max_int_acc","abs_mean_int_acc","sd_int_acc","E1_int_acc","E2_int_acc","E3_int_acc","skew_int_acc","kuriosis_int_acc","Et1_int_acc","Et2_int_acc","Et3_int_acc","skew_t_int_acc","kuriosis_t_int_acc","meandiff_int_acc","meandiff_n_int_acc","meandiff2_n_int_acc","meandiff3_n_int_acc","meandiff5_n_int_acc","meandiff10_n_int_acc"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",576.17129888035,1152.237,0.0200329815532799,332.623657596344,57518,60333.7810037293,0,120973.184493308,60333.7810037293,35049.5111129661,60333.7810037293,4868612001.48502,442383118909299,1.30223930154049,1.80869917515279,46420241.5759765,3887972860682180,3.87370524976588e+23,1.59787107470524,2.7775693867455,2.10325963616511,104.994015604376,104.993162036021,104.994325635553,104.994622495774,104.99048796627
"00e33622-65c6-47e5-be88-8cd65645add3_2WH3",599.973488131406,1199.974,0.0200312828645355,346.415319020522,59906,62391.4772516854,0,125187.22515113,62391.4772516854,36041.4478909992,62391.4772516854,5191660715.9899,486199644460181,1.29973610332412,1.80247930273815,49918245.0967273,4488424479664532,4.80679780427147e+23,1.59850857608801,2.78325030234903,2.08976254321226,104.322624749449,104.326669745678,104.328357496919,104.328854361674,104.327589475012
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH3",342.410284840861,684.817,0.0200338472340052,197.666888704182,34184,33339.5304822478,0,66896.8461660834,33339.5304822478,19267.0643061294,33339.5304822478,1482733200.29366,74271542811926.9,1.30085211476169,1.8061976337815,15224090.549307,417893146666577,1.36670731899604e+22,1.59984403663344,2.78799623891987,1.95702092168866,97.6844176011728,97.6850560692414,97.6852965878295,97.685281579815,97.6849965157498
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH5",599.997152456828,1199.988,0.0250271341272655,346.413369198649,47948,59613.0653342338,0,119227.940019491,59613.0653342338,34420.14962667,59613.0653342338,4738439549.87499,423732242310845,1.29908777075469,1.80015308457743,47691020.6893235,4094157993307432,4.18422495508077e+23,1.59723246226661,2.77790174356657,2.48666110537658,99.3565158983566,99.3576813847266,99.358230696857,99.3583498157508,99.3585772078223
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",600.061296484258,1199.999,0.0200330378457789,346.419070822008,59902,59031.3076309667,0,119414.989215914,59031.3076309667,34291.8270714716,59031.3076309667,4660605053.63436,415208438422574,1.30497658305002,1.82003475066576,47300597.4063172,4049328637380451,4.13804279802636e+23,1.60590718340211,2.81176121026351,1.99353915987903,99.5124478710463,99.5128072310085,99.513008644744,99.5125633163255,99.5124124099347
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",599.930171048897,1199.989,0.0200331051752922,346.411053312046,59901,58693.353191769,0,117410.721516372,58693.353191769,33891.2000159355,58693.353191769,4593503972.21751,404447254194623,1.29910946492581,1.80023212355976,46952003.5799443,3968460728418168,3.99319830633273e+23,1.5973046202182,2.77819292855742,1.96011221229335,97.843465973279,97.8435795818894,97.843633158191,97.8436915595688,97.8437231289595
"01143158-6bc7-4a25-a865-25a8a6b9cc59_2WLT",599.966502336995,1199.979,0.0200313663300225,346.418769840477,59906,60792.0455354514,0,120889.209557512,60792.0455354514,35087.3507255619,60792.0455354514,4926774430.42356,448269152759352,1.29626810758081,1.78957302628882,48627190.1652807,4243999994563889,4.40058406097386e+23,1.59164884849019,2.75633785085783,2.01801535026311,100.739110846173,100.73860251048,100.739311960921,100.740790606094,100.742185649751
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",600.033669142933,1199.982,0.0200327540441729,346.415940710701,59902,59897.4985238109,0,119931.099626997,59897.4985238109,34500.402198983,59897.4985238109,4777968210.88397,428672462866901,1.29795818721946,1.79726898440163,47891735.2589796,4125318979011458,4.23238483666107e+23,1.59734544459892,2.77987246326152,2.00215521655727,99.944593687639,99.9448917887155,99.9450733159415,99.9449676309483,99.9444509260974
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",599.778770349711,1199.99,0.0200407335036825,346.477771198963,59878,54573.719757109,0,109143.216077205,54573.719757109,31520.8386873101,54573.719757109,3971837566.55168,325207654333843,1.29919260589558,1.80040919594168,43653244.8857223,3431503485318212,3.21128459502304e+23,1.59754142867656,2.77884872983777,1.82279032144571,90.955508478284,90.9554897732816,90.9554606457099,90.955326040019,90.9550292996209
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",600.001939598715,1199.996,0.0100113128211974,346.409827385669,119865,66871.9146933614,0,131967.163167185,66871.9146933614,38139.3882670074,66871.9146933614,5926453776.71091,589089084875135,1.29118545049453,1.77488435802867,53333571.0692497,5084056198482111,5.75538072996736e+23,1.58766380700981,2.74269344774816,1.10097413040767,107.44038760639,109.90270347542,109.962347805885,109.988718016226,109.976409483071
