"measurement_id","mean_ts_int_gyro","max_ts_int_gyro","mean_diff_ts_int_gyro","sd_ts_int_gyro","obs_int_gyro","mean_int_gyro","min_int_gyro","max_int_gyro","abs_mean_int_gyro","sd_int_gyro","E1_int_gyro","E2_int_gyro","E3_int_gyro","skew_int_gyro","kuriosis_int_gyro","Et1_int_gyro","Et2_int_gyro","Et3_int_gyro","skew_t_int_gyro","kuriosis_t_int_gyro","meandiff_int_gyro","meandiff_n_int_gyro","meandiff2_n_int_gyro","meandiff3_n_int_gyro","meandiff5_n_int_gyro","meandiff10_n_int_gyro"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",576.166262358076,1152.217,0.0200343754346919,332.617143212072,57513,-0.0490100183142181,-0.0922485619232759,0,0.0490100183142181,0.0239670024010794,-0.0490100183142181,0.00297638911164698,-0.000201546225672239,-1.2411952615276,1.6545072668481,-29.3952745009042,1132.23795302038,-46702.2980908131,-1.22583407311444,1.56327238626735,-4.83593090511266e-07,-2.41434511253907e-05,-2.41427936502237e-05,-2.41423158088029e-05,-2.41366312262091e-05,-2.41322906792293e-05
"00e33622-65c6-47e5-be88-8cd65645add3_2WH3",599.963977161555,1199.976,0.0200336572172694,346.417501590593,59899,-0.00952785031376277,-0.0295613198609851,0.00431124866832147,0.00995795317626376,0.00930818076510748,-0.00952785031376277,0.000177420714285339,-3.76603724573025e-06,-1.59359561402839,2.73641253638495,-8.33211863708379,174.263903325317,-4287.84368876056,-1.8639222330501,3.72509178562015,-4.66258630802075e-07,-2.31520612725612e-05,-2.31509001074357e-05,-2.31493120603157e-05,-2.31472693615244e-05,-2.31382444009927e-05
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH3",342.336312498171,684.695,0.020036638183308,197.626271505785,34173,-0.10766548352978,-0.214292263878988,0,0.10766548352978,0.0593061122127416,-0.10766548352978,0.0151089683656937,-0.0023801404700659,-1.28159372096038,1.75686936775445,-48.5681386223124,4196.02892726906,-434378.977342067,-1.59812626157981,2.79510120649509,-6.27098981268255e-06,-0.00031294779547539,-0.000312946478603264,-0.000312945176776882,-0.000312943403368506,-0.000312939045358202
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH5",599.989838825394,1199.978,0.02502717583999,346.413356875683,47948,-0.21085317247446,-0.421705570359896,0,0.21085317247446,0.12173842723353,-0.21085317247446,0.059278995917893,-0.0187488471161878,-1.29904234920913,1.80001394665151,-168.680698672969,51216.1201358415,-18512686.5495177,-1.59720048943633,2.77781122806987,-8.79524413122606e-06,-0.000351428168842191,-0.00035142801005321,-0.000351427921012645,-0.000351427870500591,-0.000351427775456818
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",600.067693595779,1199.995,0.0200343088969397,346.418612040106,59898,-0.168464413559506,-0.319599934842225,0,0.168464413559506,0.094558554911171,-0.168464413559506,0.0373214296670634,-0.00915584014919428,-1.26987447559711,1.69648399243417,-133.627668354308,31094.2182134553,-8419739.70249508,-1.53560388565638,2.54058737867185,-5.33582541433169e-06,-0.000266310758940271,-0.000266306170674583,-0.000266299839031554,-0.000266290666158456,-0.000266277434590973
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",599.930548207757,1199.998,0.0200343762521704,346.410372346701,59897,-0.210678118594424,-0.42139527367616,0,0.210678118594424,0.121652676961061,-0.210678118594424,0.0591843963858934,-0.0187045299207896,-1.29908020169995,1.80010602152575,-168.533284717128,51129.2849633995,-18465812.8428394,-1.59721673056479,2.77784213760465,-7.03544934012555e-06,-0.000351168809546661,-0.000351168848141373,-0.000351168855259025,-0.00035116885690929,-0.000351168873770357
"01143158-6bc7-4a25-a865-25a8a6b9cc59_2WLT",599.976411312942,1199.981,0.0200347441355706,346.42130109028,59896,-0.121776492492281,-0.266775769932782,8.67113818978601e-05,0.121776613088785,0.07190833679827,-0.121776492492281,0.0200002366950294,-0.00382904062046583,-1.35374626213812,1.99985125028109,-97.3811417071075,18055.5986154322,-4093788.5745951,-1.68735931048044,3.11831563192947,-4.44109298132599e-06,-0.000221589881800814,-0.000221599577592659,-0.000221609183862171,-0.000221628771166107,-0.000221658240340535
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",600.038124866435,1199.976,0.0200346606561483,346.411669075038,59896,-0.198100058150737,-0.35828609193765,0,0.198100058150737,0.110822885789643,-0.198100058150737,0.0515251400034484,-0.0149029450017166,-1.27421680347382,1.71559732823487,-157.13844402224,43288.5550039729,-13940147.6060593,-1.54777468346213,2.5744594990156,-5.98190319622088e-06,-0.000298543895993446,-0.00029854473789678,-0.000298546786604441,-0.000298550493619707,-0.000298548674740153
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",599.995847684992,1199.982,0.0200216571562052,346.412563020085,59935,-0.209410953540572,-0.418832901080817,0,0.209410953540572,0.120909592343417,-0.209410953540572,0.0584718330670216,-0.0183674672741274,-1.2990600024655,1.80006523876251,-167.529605512584,50520.0921232955,-18136715.6976839,-1.59721155906841,2.77785109582769,-6.98823541029827e-06,-0.000349033846544434,-0.000349033824817968,-0.000349033807123662,-0.000349033797629843,-0.000349033784960811
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",599.996050136835,1199.992,0.0100123653536474,346.419255757754,119852,-0.057385782998205,-0.161048873797934,0.0166162453945416,0.0605696678082051,0.0530118985905961,-0.057385782998205,0.00610336603473286,-0.000741623571836732,-1.55535453654593,2.63046578917905,-52.3723359398251,6153.399711338,-873638.795237491,-1.80991934130831,3.55085058866862,-1.34374242849817e-06,-0.000131761489991558,-0.000134145767597836,-0.000134172593383781,-0.000134184049844707,-0.000134200555230968
