"measurement_id","x_acf1_int_gyro","x_acf10_int_gyro","diff1_acf1_int_gyro","diff1_acf10_int_gyro","diff2_acf1_int_gyro","diff2_acf10_int_gyro","max_kl_shift_int_gyro","time_kl_shift_int_gyro","outlierinclude_mdrmd_int_gyro","ARCH.LM_int_gyro","max_level_shift_int_gyro","time_level_shift_int_gyro","ac_9_int_gyro","crossing_points_int_gyro","max_var_shift_int_gyro","time_var_shift_int_gyro","entropy_int_gyro","nonlinearity_int_gyro","embed2_incircle_int_gyro","spreadrandomlocal_meantaul_int_gyro","flat_spots_int_gyro","x_pacf5_int_gyro","diff1x_pacf5_int_gyro","diff2x_pacf5_int_gyro","firstmin_ac_int_gyro","std1st_der_int_gyro","arch_acf_int_gyro","garch_acf_int_gyro","arch_r2_int_gyro","garch_r2_int_gyro","stability_int_gyro","firstzero_ac_int_gyro","trev_num_int_gyro","alpha_int_gyro","beta_int_gyro","nperiods_int_gyro","seasonal_period_int_gyro","trend_int_gyro","spike_int_gyro","linearity_int_gyro","curvature_int_gyro","e_acf1_int_gyro","e_acf10_int_gyro","walker_propcross_int_gyro","hurst_int_gyro","unitroot_kpss_int_gyro","histogram_mode_int_gyro","unitroot_pp_int_gyro","localsimple_taures_int_gyro","lumpiness_int_gyro","motiftwo_entro3_int_gyro"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",0.999956772744035,9.99520728854889,0.953398386927105,5.25686776028768,0.0469434691413159,0.124675219833936,0.0111677706225823,55946,-0.213299601829152,0.999999965609178,0.0408764442502552,55940,0.999606883073009,8,0.000264103984071477,55946,0.218812869749585,0.0360392381895835,0.258234490534944,17.13,5645,0.9999217317487,1.00078046101053,0.0874473248171277,22206,0.000379866790210862,1.84535051238422,0.00200592873563454,0.704980058462336,0.0482662550821997,1.00016681852288,11396,1.78520159252889e-10,0.946618197199851,0.946618181652476,0,1,0.996589451900971,1.37578681091361e-14,-33.7854072579627,196.447392903712,0.999973772834596,9.98770384655937,0.0125539017944081,0.999954177318763,63.7808732093214,0.25,-1.75621195835595,10671,1.68413230661454e-11,0.682893023215753
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",0.999952175768538,9.99473976967609,0.934178462001139,6.24509197014259,-0.37421697177398,0.501517375607544,0.000345562334199526,1221,0.0999031687201576,0.999999998251452,0.00597479196933892,45645,0.99956953525349,3,3.07946770103454e-06,45653,0.200516438404182,0.10244484076278,0,18.46,12379,0.999904359586593,1.04203472796424,0.188122914261303,39638,5.13989999939071e-05,3.0555283264271,3.96075149560185e-06,0.70815419494417,0.000337930040513818,0.99994261673505,21463,7.55058879441387e-14,0.844498782163953,0.84449867532875,0,1,0.999869192969386,2.96767998175387e-17,-243.199820968105,18.4816091632413,0.999990098306704,9.99448495129343,0.0037898392240012,0.999954177318763,300.221210372217,-1.25,-0.310914036520229,5281,9.69788328635684e-15,0.69309490833831
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",0.999949916704255,9.99449179261448,-0.369882901367795,0.39410988226328,-0.702003050451743,1.07745298113148,0.000137145045936023,58471,-0.33198657695711,0.999999999768185,0.00115717514463187,43484,0.99954924950821,1,1.86365293954393e-07,43489,0.20059173288054,4.81270609263039e-05,0.285131149267882,19,5994,0.999899838446559,0.162828196763889,0.817625495826677,42357,7.21586776918617e-06,6.86280529863458,7.81907983555519e-06,0.322372976887756,0.000784489001015372,0.99991647303028,21925,-2.14992100758716e-13,0.686287904839656,0.000100036533052421,0,1,0.999999994306087,5.89982274409819e-26,-244.737341059914,0.000515040843870167,0.995417814406002,9.73394524230943,1.66956057165754e-05,0.999954177318763,299.587804734022,-1.25,0.000555098248346948,1,1.25688608938471e-17,0.693524740620055
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",0.999955883123335,9.99514771004507,0.712962436750182,5.27317122104619,-0.802364846350793,3.27386860420854,0.000656476640680216,55092,0.251202083611593,0.999999998979692,0.00284778762054239,55076,0.999602928953425,1,1.02371281718124e-06,55082,0.200974875333229,1.58149652318091,0.219893781231196,18.77,11795,0.999911771455542,1.14092339276255,0.700257644472235,41492,2.77574625175312e-05,2.9810979173168,0.000197785285394655,0.285877491185487,0.00319244993728594,1.00004114295282,21673,-1.97673778913367e-13,0.659761840093479,0.494410819492463,0,1,0.999975133291022,1.5085311982674e-18,-243.895973051307,13.3829673837192,0.999899775243662,9.98493240226509,0.00235411970949161,0.999954177318763,300.895126114677,-1.25,-0.553327679101769,6811,6.60519660498106e-16,0.693397890777731
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",0.999979155711651,9.99770594915733,0.664933401699276,4.38883914868605,-0.273281100029111,1.55579639849683,0.00187489026014533,9377,0.573866101525214,0.999999995840955,0.00611198340717745,9373,0.999812253121569,3,4.7125486196836e-06,9367,0.19232481942395,0.117553598384229,0.359633928802254,18.23,23591,0.999958360732767,1.30086768568007,0.990731950706951,87257,7.42848849410492e-05,1.0843097255978,0.602318808318804,0.42771270522662,0.328625168626163,1.00002793642488,42490,6.03755611415389e-13,0.473544850072355,0.23067934812975,0,1,0.999216532854172,7.34628589818832e-17,-337.1999652051,-63.0507497562868,0.99995629919266,9.99394290588509,0.0055819308975311,0.999954177318763,480.056733093692,0.25,1.32100495168505,3921,6.36504345876711e-15,0.675295100446911
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",0.999949945665429,9.99449498595219,-0.868976660730219,4.73154055699198,-0.930588144015136,5.47135900770354,2.18247781138838e-05,59492,1.66847418037186e-05,0.999999999899487,0.000601044807162721,17940,0.999549510621958,1,7.52348501731866e-09,43910,0.200582703703086,8.33545851087641e-08,0.285180408979656,19,5994,0.999899896493822,0.891275673099673,1.39727563749608,42380,9.4631808225966e-06,10.7926493603812,2.53142619582734,0.961652012200266,0.77866808511193,0.999983295111732,21938,-2.08584821832228e-13,0.154836042351849,0.000100008370815217,0,1,0.999999999957959,1.44289577132392e-30,-244.814235500546,-0.00595872955518722,-0.0650757044624123,1.90735790440349,1.66850201888744e-05,0.999954177318763,299.775149210137,0.75,0.000157427083731071,1,3.7333872683385e-19,0.693524529082899
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WLT",0.999946636030285,9.9941304568493,0.879786662234763,5.8658501701411,-0.653528345633042,2.31566509527578,0.000606528261909932,268,0.0837757521119236,0.999999996991804,0.00559714977166581,52326,0.999519658854434,1,3.96504888195112e-06,52319,0.201145585608697,0.198138507487751,0.187440633245383,17.45,8821,0.999893283457013,1.28623908606222,0.547224493712572,42142,6.77821102190749e-05,3.10536722945462,0.00577960919910272,0.580232011000363,0.0423991520678686,0.999850208968719,21998,-1.91700619643146e-13,0.746998480763338,0.746997283708906,0,1,0.999867114207972,1.49783016831272e-17,-244.23229296964,9.19525935560876,0.999973760338502,9.98885729587136,0.00793028031453996,0.999954177318763,298.840359270102,-1.25,0.0484885488093157,1811,1.05955695818103e-14,0.693456835485697
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WH7",0.999949914914826,9.99449161319211,-0.719483934822078,3.37802824816723,-0.88863009141734,4.7016021174363,2.12796524819568e-05,59569,1.66953269780112e-05,0.999999999740822,0.00115319965395955,7690,0.999549234683211,1,1.8552286775195e-07,7685,0.200594211827055,5.2699202660127e-06,0.28536065098886,19,5995,0.99989983485904,0.631646580247546,1.13069768027516,42351,1.07229537762441e-05,6.78280326001184,6.36788119818237e-05,0.357726239007546,0.00161773576525084,0.999916513678383,21924,-2.2566223434016e-13,0.453955739439769,0.000100005292413423,0,1,0.999999993880706,6.34568975728848e-26,-244.736271453778,0.00575536695287064,0.990605656884466,9.71497722157793,1.66956057165754e-05,0.999954177318763,299.583356093263,-0.75,0.000118262119366551,1,1.54743753271276e-17,0.693524747310339
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WH7",0.999950574375676,9.99456416311897,0.142152617570561,2.18877488620505,-0.859826005087322,3.83435526779718,6.06714018965254e-05,493,0.232570951585977,0.999999999518325,0.00115688267142988,7836,0.999555173781045,1,1.74089215510137e-07,7841,0.200615977888021,0.0332333094873452,0.26983250506166,18.83,6240,0.999901153401129,0.666636715387103,0.862333717423666,42247,1.55730172954221e-05,7.00149156705868,9.37796373920528e-05,0.428317422442445,0.00241197462604313,1.00015024717653,21869,-2.32780886758421e-13,0.564538302221678,0.352345479724056,0,1,0.999994433968884,5.1830583730062e-20,-244.729918469885,0.305394171878629,0.999977020231262,9.99253237245476,0.0007512646287918,0.999954177318763,299.910088239654,-1.25,-0.0200609558082603,27,5.35846420243814e-17,0.693510989122783
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WLT",0.999949906239395,9.99449065882643,-0.718122010387425,3.27931514824627,-0.887857564598712,4.57375329883896,3.01171655370702e-05,58071,-0.0663360715955387,0.99999999973536,0.00115085420036287,11130,0.999549156651566,1,1.82519937247595e-07,11135,0.200588287136708,3.05915604018709e-05,0.285206352550765,18.99,5994,0.999899817430693,0.621998524709877,1.12658318105936,42348,1.05880806561326e-05,7.29544997663144,5.4954719458152e-05,0.408538221366014,0.000899972410491231,1.00008344562339,21923,-2.23303124205883e-13,0.458339940156418,0.00010000807163215,0,1,0.999999994024438,5.98124006498005e-26,-244.726451778753,-0.00214445143416326,0.990614772353816,9.71047983915786,1.6696999549181e-05,0.999954177318763,299.558928456115,-1.25,0.000764630141493922,1,1.23200253947548e-17,0.693524773953029
